src:port,sep,dst:port,inframes,inbytes,outframes,outbytes,totalframes,totalbytes,relstart,duration
144.93.125.32:48412,<->,144.93.121.10:20090,0,0,100,20400,100,20400,0.003085000,1.9800
144.93.121.50:45060,<->,144.93.120.177:24624,100,20400,0,0,100,20400,0.002953000,1.9800
144.93.120.177:64172,<->,144.93.121.50:28756,0,0,100,20400,100,20400,0.002825000,1.9800
144.93.121.86:35218,<->,144.93.120.177:7684,100,20400,0,0,100,20400,0.002794000,1.9800
144.93.125.49:64720,<->,144.93.121.10:64418,0,0,100,20400,100,20400,0.002590000,1.9800
144.93.121.86:50182,<->,144.93.125.49:35720,100,20400,0,0,100,20400,0.002566000,1.9800
144.93.120.177:31510,<->,144.93.121.10:20098,0,0,100,20400,100,20400,0.002453000,1.9800
220.14.74.198:49262,<->,35.56.98.184:9302,0,0,100,20400,100,20400,0.002321000,1.9800
144.93.121.48:48748,<->,144.93.120.177:33404,100,20400,0,0,100,20400,0.002298000,1.9800
144.93.120.177:60768,<->,144.93.121.86:30464,0,0,100,20400,100,20400,0.002287000,1.9800
144.93.120.177:64040,<->,144.93.121.50:56188,0,0,100,20400,100,20400,0.002278000,1.9800
144.93.120.177:55016,<->,144.93.121.10:13590,0,0,100,20400,100,20400,0.001876000,1.9800
144.93.120.177:48290,<->,144.93.121.86:14668,0,0,100,20400,100,20400,0.001763000,1.9800
144.93.125.49:61052,<->,144.93.121.10:14896,0,0,100,20400,100,20400,0.001558000,1.9800
144.93.121.86:22990,<->,144.93.120.177:15980,100,20400,0,0,100,20400,0.001384000,1.9800
144.93.121.10:62724,<->,145.2.46.75:10176,100,20400,0,0,100,20400,0.001381000,1.9800
144.93.121.48:55164,<->,144.93.120.177:7840,100,20400,0,0,100,20400,0.001380000,1.9800
144.93.121.86:55458,<->,144.93.125.38:48696,100,20400,0,0,100,20400,0.001312000,1.9809
144.93.120.177:65408,<->,144.93.121.86:42604,0,0,100,20400,100,20400,0.001075000,1.9800
144.93.121.48:37456,<->,144.93.120.177:9640,100,20400,0,0,100,20400,0.000853000,1.9800
144.93.121.48:42976,<->,144.93.120.177:36252,100,20400,0,0,100,20400,0.000797000,1.9801
144.93.121.83:26672,<->,98.198.84.11:16952,100,20400,0,0,100,20400,0.000715000,1.9800
144.93.121.86:60982,<->,144.93.125.49:32532,100,20400,0,0,100,20400,0.000564000,1.9800
144.93.125.49:56024,<->,144.93.121.10:32560,0,0,100,20400,100,20400,0.000556000,1.9800
144.93.120.177:56844,<->,144.93.121.50:37496,0,0,100,20400,100,20400,0.000327000,1.9800
144.93.121.10:39300,<->,144.93.125.48:21700,100,20400,0,0,100,20400,0.000280000,1.9800
144.93.121.86:46442,<->,113.171.246.29:27390,100,20400,0,0,100,20400,0.000263000,1.9801
144.93.121.10:18656,<->,144.93.120.177:7986,100,20400,0,0,100,20400,0.000132000,1.9800
144.93.121.43:37796,<->,144.93.125.32:33540,100,20400,0,0,100,20400,0.000031000,1.9800
144.93.125.49:43872,<->,144.93.121.10:17592,0,0,99,20196,99,20196,0.009534000,1.9800
144.93.120.28:45122,<->,144.93.121.10:19216,0,0,99,20196,99,20196,0.001919000,1.9601
226.36.250.224:45792,<->,92.27.27.178:12975,0,0,98,5120,98,5120,0.044841000,1.9455
121.212.70.115:61116,<->,92.27.27.182:53542,0,0,96,141120,96,141120,0.109522000,1.8810
92.170.244.173:16402,<->,215.158.2.89:swr-port,96,12321,0,0,96,12321,0.008123000,1.9006
108.128.237.16:57501,<->,101.224.167.233:28016,0,0,95,9610,95,9610,0.016295000,1.9481
204.114.166.12:64484,<->,92.27.219.133:44345,0,0,90,4746,90,4746,0.121285000,1.8013
89.207.131.9:16402,<->,133.178.227.143:ifsf-hb-port,0,0,89,56889,89,56889,0.005498000,1.9627
6.211.193.169:37488,<->,92.27.219.165:openvpn,0,0,88,36560,88,36560,0.048729000,1.9480
8.228.214.124:58457,<->,141.37.255.242:29335,88,128304,0,0,88,128304,0.001026000,1.9978
114.186.59.195:44723,<->,210.221.110.77:6881,0,0,87,119382,87,119382,0.376816000,1.5877
120.221.207.133:47021,<->,92.27.27.164:4268,0,0,87,111304,87,111304,0.033640000,1.7968
103.164.140.56:49921,<->,92.27.219.220:http-alt,0,0,86,11310,86,11310,0.342100000,1.5562
113.108.161.158:57830,<->,92.27.27.142:49077,0,0,85,123845,85,123845,0.263029000,1.7168
111.161.94.38:38344,<->,92.27.219.226:23576,0,0,85,67077,85,67077,0.086605000,1.8823
