src,sep,dst,inframes,inbytes,outframes,outbytes,totalframes,totalbytes,relstart,duration
192.228.25.162,<->,133.178.226.201,0,0,240,358339,240,358339,0.429640000,1.5001
127.107.246.132,<->,92.168.217.173,0,0,240,13701,240,13701,0.224047000,1.7739
215.158.238.243,<->,35.17.217.34,240,13748,0,0,240,13748,0.069885000,1.7980
132.165.186.130,<->,92.162.253.47,0,0,240,338240,240,338240,0.026344000,1.9645
8.252.221.198,<->,4.133.79.158,240,16918,0,0,240,16918,0.008399000,1.9853
109.50.90.98,<->,8.182.248.147,0,0,239,11950,239,11950,0.002658000,0.3932
220.28.115.46,<->,215.158.238.71,0,0,238,316100,238,316100,0.015095000,1.7679
53.167.66.5,<->,48.53.202.113,0,0,238,15128,238,15128,0.002619000,1.9929
220.80.135.121,<->,124.58.170.224,236,354944,0,0,236,354944,0.028361000,1.9005
215.158.238.217,<->,98.219.126.140,235,312846,0,0,235,312846,0.033454000,1.9636
43.54.163.41,<->,8.252.221.222,0,0,234,16077,234,16077,0.573463000,1.3465
133.178.226.255,<->,17.128.69.208,233,183901,0,0,233,183901,1.057927000,0.9287
113.123.98.95,<->,92.168.217.244,0,0,233,13309,233,13309,0.082457000,0.8865
129.236.114.40,<->,111.20.168.12,0,0,231,346273,231,346273,0.273923000,0.0016
215.158.238.236,<->,29.211.4.150,231,12948,0,0,231,12948,0.036964000,0.8654
92.162.253.147,<->,42.105.214.217,230,345920,0,0,230,345920,0.069467000,1.7977
249.101.217.108,<->,193.34.14.177,230,337800,0,0,230,337800,0.069245000,1.7999
193.34.14.255,<->,111.147.113.114,0,0,230,337800,230,337800,0.048918000,1.9506
215.158.238.128,<->,98.219.126.140,230,311962,0,0,230,311962,0.041474000,1.7910
193.34.14.170,<->,80.40.56.251,0,0,230,340560,230,340560,0.013673000,1.8025
111.147.74.255,<->,53.232.229.106,229,342330,0,0,229,342330,0.006666000,1.9843
132.165.186.130,<->,92.162.252.174,0,0,228,321328,228,321328,0.083098000,1.8680
215.158.238.70,<->,98.219.126.140,228,299151,0,0,228,299151,0.074447000,1.9246
215.158.238.192,<->,100.216.78.145,228,316887,0,0,228,316887,0.025681000,0.7443
220.28.65.9,<->,133.178.227.52,0,0,227,292747,227,292747,0.067970000,1.8698
133.178.227.37,<->,100.216.78.145,225,294202,0,0,225,294202,0.053511000,1.8826
136.25.188.192,<->,98.219.126.140,224,302948,0,0,224,302948,0.123433000,1.3836
229.42.55.249,<->,92.27.219.203,0,0,224,312704,224,312704,0.018495000,1.9340
139.163.0.99,<->,110.198.96.234,223,12632,0,0,223,12632,0.284175000,1.7082
215.158.238.79,<->,98.219.126.175,223,301208,0,0,223,301208,0.031272000,1.9028
112.81.1.224,<->,92.168.217.209,0,0,223,12488,223,12488,0.003721000,1.0080
111.20.172.119,<->,111.20.168.156,0,0,221,329791,221,329791,1.007122000,0.8261
111.20.172.119,<->,33.233.141.95,0,0,221,329730,221,329730,0.310814000,0.9216
220.28.73.211,<->,133.178.227.63,0,0,220,304856,220,304856,0.199415000,1.7653
112.24.223.71,<->,92.168.217.229,0,0,219,12264,219,12264,0.058864000,1.8688
215.158.238.146,<->,0.195.237.14,218,312727,0,0,218,312727,0.392164000,0.6861
133.54.43.75,<->,106.219.64.22,216,12424,0,0,216,12424,0.015026000,1.6576
133.54.43.38,<->,112.15.4.244,215,11017,0,0,215,11017,0.002376000,1.9933
220.28.108.254,<->,215.158.238.137,0,0,214,277944,214,277944,0.041313000,1.9545
220.55.102.139,<->,220.28.109.110,213,10913,0,0,213,10913,0.486253000,0.2920
