src,<->,dest,in_frames,in_bytes,out_frames,out_bytes,total_frames,total_bytes,rel_start,duration
89.183.104.227,<->,38.97.21.210,1,56,0,0,1,56,1.456000000,0.0000
99.175.107.24,<->,53.214.235.71,1,417,0,0,1,417,1.455456000,0.0000
192.231.166.85,<->,99.73.63.149,0,0,1,52,1,52,1.455099000,0.0000
131.92.219.38,<->,98.129.94.67,0,0,1,50,1,50,1.455003000,0.0000
119.68.182.212,<->,89.183.104.231,0,0,1,52,1,52,1.454963000,0.0000
241.193.172.231,<->,20.93.183.242,0,0,1,50,1,50,1.454865000,0.0000
206.222.59.10,<->,89.183.104.167,0,0,1,52,1,52,1.454865000,0.0000
158.55.120.187,<->,144.75.218.246,0,0,1,162,1,162,1.454856000,0.0000
247.136.242.239,<->,132.216.20.254,1,56,0,0,1,56,1.454320000,0.0000
98.67.133.87,<->,92.34.2.222,1,71,0,0,1,71,1.454201000,0.0000
112.208.20.246,<->,100.93.119.230,0,0,1,163,1,163,1.454006000,0.0000
215.158.239.92,<->,199.20.31.226,1,64,0,0,1,64,1.453976000,0.0000
123.19.57.43,<->,92.27.219.239,0,0,1,373,1,373,1.453965000,0.0000
21.15.226.126,<->,20.193.25.48,0,0,1,82,1,82,1.453650000,0.0000
111.147.137.183,<->,54.58.106.235,1,56,0,0,1,56,1.453493000,0.0000
215.158.239.97,<->,199.20.30.90,1,781,0,0,1,781,1.453433000,0.0000
105.204.179.226,<->,50.224.76.234,0,0,1,50,1,50,1.453400000,0.0000
105.168.108.183,<->,92.27.27.175,0,0,1,80,1,80,1.453183000,0.0000
157.25.158.25,<->,144.75.218.246,0,0,1,87,1,87,1.453045000,0.0000
144.75.218.233,<->,138.127.225.78,1,269,0,0,1,269,1.452942000,0.0000
109.222.250.46,<->,38.25.250.39,1,80,0,0,1,80,1.452826000,0.0000
112.54.73.92,<->,97.126.18.23,0,0,1,71,1,71,1.452756000,0.0000
223.138.178.113,<->,39.152.189.205,0,0,1,56,1,56,1.452543000,0.0000
72.195.7.193,<->,39.231.47.184,0,0,1,64,1,64,1.452212000,0.0000
215.158.239.229,<->,128.156.85.186,1,100,0,0,1,100,1.452139000,0.0000
144.75.218.233,<->,138.127.231.139,1,366,0,0,1,366,1.451790000,0.0000
112.212.96.222,<->,20.188.21.207,0,0,1,539,1,539,1.451283000,0.0000
120.188.17.43,<->,39.143.92.27,0,0,1,136,1,136,1.450935000,0.0000
108.36.183.151,<->,89.183.104.253,0,0,1,221,1,221,1.450876000,0.0000
215.158.238.200,<->,144.90.218.168,1,1002,0,0,1,1002,1.450708000,0.0000
231.178.9.244,<->,39.248.89.72,0,0,1,56,1,56,1.450557000,0.0000
207.63.155.175,<->,136.25.188.177,0,0,1,68,1,68,1.449941000,0.0000
200.174.103.225,<->,53.213.148.81,1,50,0,0,1,50,1.449834000,0.0000
218.176.18.66,<->,29.211.214.32,0,0,1,87,1,87,1.449513000,0.0000
198.69.238.131,<->,20.90.202.134,0,0,1,64,1,64,1.449421000,0.0000
144.75.218.242,<->,138.127.225.88,1,366,0,0,1,366,1.449125000,0.0000
94.39.46.138,<->,39.51.105.2,0,0,1,64,1,64,1.448790000,0.0000
215.158.238.161,<->,118.20.100.200,1,84,0,0,1,84,1.448682000,0.0000
6.145.148.93,<->,0.195.210.46,0,0,1,56,1,56,1.448615000,0.0000
241.193.172.231,<->,20.179.205.119,0,0,1,50,1,50,1.448608000,0.0000
215.158.239.121,<->,215.158.61.183,1,56,0,0,1,56,1.448357000,0.0000
199.12.125.72,<->,20.11.148.28,0,0,1,64,1,64,1.448272000,0.0000
247.136.131.55,<->,210.209.251.214,1,481,0,0,1,481,1.447940000,0.0000
194.233.159.16,<->,136.25.188.54,0,0,1,50,1,50,1.447900000,0.0000
215.158.239.85,<->,196.94.61.238,1,68,0,0,1,68,1.447684000,0.0000
132.249.70.233,<->,57.29.149.23,1,157,0,0,1,157,1.447673000,0.0000
198.204.78.16,<->,8.52.223.43,0,0,1,1002,1,1002,1.447636000,0.0000
144.64.137.156,<->,57.140.246.52,1,71,0,0,1,71,1.447510000,0.0000
109.1.16.149,<->,27.188.163.162,1,445,0,0,1,445,1.447424000,0.0000
21.15.226.126,<->,20.193.26.8,0,0,1,82,1,82,1.446973000,0.0000
106.187.250.29,<->,8.228.223.193,0,0,1,60,1,60,1.446865000,0.0000
121.231.63.172,<->,39.216.213.92,0,0,1,100,1,100,1.446809000,0.0000
192.64.234.189,<->,29.201.141.148,1,50,0,0,1,50,1.446578000,0.0000
215.158.239.95,<->,196.88.134.223,1,561,0,0,1,561,1.446377000,0.0000
241.193.172.231,<->,20.220.143.197,0,0,1,50,1,50,1.446331000,0.0000
215.158.239.92,<->,143.10.57.201,1,50,0,0,1,50,1.446207000,0.0000
113.131.107.29,<->,109.222.255.59,0,0,1,75,1,75,1.445587000,0.0000
215.158.239.85,<->,207.213.226.100,1,68,0,0,1,68,1.444979000,0.0000
220.38.84.202,<->,133.178.226.28,0,0,1,1213,1,1213,1.444903000,0.0000
192.67.140.85,<->,123.153.228.35,1,50,0,0,1,50,1.444712000,0.0000
123.49.16.66,<->,89.183.104.245,0,0,1,321,1,321,1.444699000,0.0000
204.20.246.70,<->,136.25.188.252,0,0,1,64,1,64,1.444658000,0.0000
152.110.93.110,<->,34.246.35.155,0,0,1,52,1,52,1.444172000,0.0000
86.194.117.90,<->,0.195.210.24,0,0,1,56,1,56,1.444154000,0.0000
119.90.251.239,<->,20.225.6.118,0,0,1,50,1,50,1.443912000,0.0000
113.163.114.210,<->,20.6.42.212,0,0,1,99,1,99,1.443857000,0.0000
141.108.34.33,<->,20.216.214.17,0,0,1,136,1,136,1.443822000,0.0000
118.224.227.82,<->,111.147.76.145,0,0,1,319,1,319,1.443765000,0.0000
247.136.154.209,<->,134.201.197.42,1,130,0,0,1,130,1.443714000,0.0000
64.252.113.196,<->,39.158.64.219,0,0,1,52,1,52,1.443521000,0.0000
120.186.232.218,<->,80.41.59.67,0,0,1,129,1,129,1.443457000,0.0000
